,id,embedding,prediction,ground_truth
25,2sbe27,"[-0.9776811599731445, -0.988811731338501, 0.8539931178092957, -0.943913459777832, -0.9386275410652161, -0.9682025909423828, -0.9682214856147766, -0.9702262282371521, -0.8417101502418518, -0.9619240760803223]",8.0,5.0
26,2sqyu2,"[-0.9361496567726135, -0.8888786435127258, 0.8506357073783875, -0.9173926711082458, -0.9545360207557678, -0.8998123407363892, -0.967329740524292, -0.928736686706543, -0.9318078756332397, -0.9484221339225769]",8.0,4.0
27,2savbe,"[-0.9802395701408386, -0.9823635816574097, 0.9929646253585815, -0.9794094562530518, -0.9617131352424622, -0.9917032122612, -0.9763320684432983, -0.913063645362854, -0.716725766658783, -0.9906734824180603]",8.0,7.0
28,2sp6tj,"[-0.9917539358139038, -0.9705356955528259, 0.9759657382965088, -0.9705101847648621, -0.9757615327835083, -0.9742920994758606, -0.9884786009788513, -0.9945709109306335, -0.9170428514480591, -0.9782599806785583]",8.0,7.0
29,2rwz30,"[-0.9753574132919312, -0.9621198177337646, 0.882932186126709, -0.9474071264266968, -0.9289605021476746, -0.9706853032112122, -0.9839727878570557, -0.9858766794204712, -0.8931062817573547, -0.9384631514549255]",8.0,4.0
30,2snjzg,"[-0.9910879731178284, -0.9648876786231995, 0.8790324330329895, -0.977347731590271, -0.9670596718788147, -0.9821037650108337, -0.9682756662368774, -0.9873084425926208, -0.9906991124153137, -0.964033842086792]",8.0,4.0
31,2rkd5b,"[-0.9977107048034668, -0.9937806725502014, 0.950316309928894, -0.971057116985321, -0.9739221930503845, -0.9910590648651123, -0.9985538125038147, -0.9979780316352844, -0.964052677154541, -0.9921161532402039]",8.0,4.0
32,2sm4bd,"[-0.9823362231254578, -0.97858065366745, 0.93892502784729, -0.9748221635818481, -0.9863868355751038, -0.7900427579879761, -0.991039514541626, -0.9918752312660217, -0.9509722590446472, -0.9848251938819885]",8.0,2.0
33,2rbtck,"[-0.9950089454650879, -0.9897995591163635, 0.9832642674446106, -0.9599166512489319, -0.887418806552887, -0.9394941926002502, -0.9966502785682678, -0.9893746972084045, -0.8560374975204468, -0.9837862253189087]",8.0,4.0
34,2skd5i,"[-0.9972468018531799, -0.9945933222770691, 0.9789812564849854, -0.9557439684867859, -0.9648537039756775, -0.9736111760139465, -0.9935978651046753, -0.989959180355072, -0.9158036112785339, -0.9702821373939514]",8.0,7.0
35,2vh14z,"[-0.9487435221672058, -0.9833914041519165, 0.9751584529876709, -0.969170093536377, -0.9802866578102112, -0.9624659419059753, -0.9927822351455688, -0.9970897436141968, -0.767636775970459, -0.9772975444793701]",8.0,4.0
36,2sk95h,"[-0.97992342710495, -0.9836249947547913, 0.983228325843811, -0.9778293371200562, -0.9961240887641907, -0.9847450852394104, -0.9841760993003845, -0.9646897912025452, -0.9339353442192078, -0.9708877205848694]",8.0,5.0
37,2v97mx,"[-0.966941237449646, -0.9706236124038696, 0.972736120223999, -0.973209798336029, -0.9442201852798462, -0.9570203423500061, -0.9887664914131165, -0.9251273274421692, -0.9325017929077148, -0.9845263957977295]",8.0,8.0
38,2shmhi,"[-0.9430248737335205, -0.9401015043258667, 0.7938176989555359, -0.8407292366027832, -0.9635769724845886, -0.9150119423866272, -0.9560661911964417, -0.9690964818000793, -0.9462372064590454, -0.9529470801353455]",8.0,8.0
39,2v7mv6,"[-0.9322915077209473, -0.9530560374259949, 0.8905140161514282, -0.9315068125724792, -0.9409788846969604, -0.9184954166412354, -0.9045283794403076, -0.9237940311431885, -0.8417952656745911, -0.9917035698890686]",8.0,4.0
40,2sgayi,"[-0.9947336316108704, -0.9894893765449524, 0.98298579454422, -0.959018886089325, -0.8903574347496033, -0.9371815323829651, -0.9966642260551453, -0.9894595146179199, -0.8568794131278992, -0.9829692244529724]",8.0,4.0
41,2v48a1,"[-0.9885508418083191, -0.9555642604827881, 0.6620104312896729, -0.9636051654815674, -0.8948531150817871, -0.9319823384284973, -0.9868099093437195, -0.9740051031112671, -0.9678753018379211, -0.9880202412605286]",8.0,4.0
42,2sfoqd,"[-0.9831284284591675, -0.9847669005393982, 0.8957313299179077, -0.9947981834411621, -0.9857064485549927, -0.8270757794380188, -0.9918811917304993, -0.9869410395622253, -0.7067576050758362, -0.9868029952049255]",8.0,4.0
43,2v1pav,"[-0.9696986079216003, -0.9851462244987488, 0.7738599181175232, -0.9940417408943176, -0.9505465030670166, -0.8298400640487671, -0.9800173044204712, -0.9911804795265198, -0.8770938515663147, -0.9910486340522766]",8.0,4.0
44,2sfnjy,"[-0.9599176645278931, -0.9579108953475952, 0.8820815682411194, -0.9378225207328796, -0.9430564045906067, -0.8959046602249146, -0.9652742743492126, -0.9868097305297852, -0.9213224649429321, -0.9745578765869141]",8.0,3.0
45,2v1ora,"[-0.9322772026062012, -0.9627540707588196, 0.868971586227417, -0.7697746157646179, -0.9163144826889038, -0.9324914216995239, -0.9430736303329468, -0.9723160266876221, -0.8080232739448547, -0.9707204699516296]",8.0,7.0
46,2sfbmb,"[-0.9663651585578918, -0.9784247875213623, 0.9469221830368042, -0.8874988555908203, -0.9505003690719604, -0.9695720672607422, -0.9344087839126587, -0.9873703718185425, -0.8778122663497925, -0.9383395910263062]",8.0,7.0
47,2ults4,"[-0.9801678657531738, -0.9588356018066406, 0.9450640678405762, -0.994720458984375, -0.9862613677978516, -0.9702999591827393, -0.9789665937423706, -0.9867421388626099, -0.8656560778617859, -0.9911050796508789]",8.0,3.0
48,2semsr,"[-0.9946625232696533, -0.9822424650192261, 0.8745015859603882, -0.9364002346992493, -0.9831617474555969, -0.9791675806045532, -0.985655665397644, -0.9857835173606873, -0.9761368036270142, -0.9852910041809082]",8.0,4.0
49,2ula9e,"[-0.9989314675331116, -0.9788304567337036, 0.9229808449745178, -0.9914163947105408, -0.9902050495147705, -0.943012535572052, -0.9683606624603271, -0.9812028408050537, -0.9815500974655151, -0.9632441401481628]",8.0,3.0
50,2scwnv,"[-0.9468477368354797, -0.9423231482505798, 0.6172211766242981, -0.9487389922142029, -0.9698526263237, -0.6913881897926331, -0.9719223976135254, -0.9312615990638733, -0.919420599937439, -0.8802297711372375]",8.0,6.0
51,2uf0g7,"[-0.9811257123947144, -0.8654643297195435, 0.9494541883468628, -0.9326295256614685, -0.9898751974105835, -0.9487099051475525, -0.7337895035743713, -0.9886666536331177, -0.8986034989356995, -0.9688772559165955]",8.0,7.0
52,2scrsp,"[-0.956917941570282, -0.899079442024231, 0.8614234328269958, -0.9763025045394897, -0.987748920917511, -0.9928486347198486, -0.9697377681732178, -0.9895946979522705, -0.9230619668960571, -0.9338197112083435]",8.0,7.0
53,2udxp5,"[-0.9948630928993225, -0.9939301013946533, 0.9715621471405029, -0.9483799338340759, -0.9944630861282349, -0.9865190982818604, -0.9974414110183716, -0.9941178560256958, -0.8434037566184998, -0.9230441451072693]",8.0,3.0
54,2scksk,"[-0.9912019968032837, -0.8874037861824036, 0.9032628536224365, -0.9785696268081665, -0.9969583749771118, -0.977783739566803, -0.9850217700004578, -0.9972671866416931, -0.9902626872062683, -0.9890704154968262]",8.0,9.0
55,2uc31s,"[-0.9404802322387695, -0.9776492714881897, 0.9470162987709045, -0.9879449605941772, -0.9603946208953857, -0.9615278244018555, -0.9950276613235474, -0.9856821894645691, -0.9254545569419861, -0.9896531701087952]",8.0,4.0
56,2sc82b,"[-0.9672152996063232, -0.9892454147338867, 0.9084752798080444, -0.9876309037208557, -0.9224069714546204, -0.9762188792228699, -0.9823342561721802, -0.9884365200996399, -0.6803332567214966, -0.970554769039154]",8.0,4.0
57,2ubqww,"[-0.9891290068626404, -0.9781100153923035, 0.8609574437141418, -0.9847538471221924, -0.953660786151886, -0.9851487874984741, -0.9752727746963501, -0.983245849609375, -0.7880828976631165, -0.9621015787124634]",8.0,8.0
58,2sbtfx,"[-0.9180058240890503, -0.9472475051879883, 0.9167342185974121, -0.8111004829406738, -0.9233373999595642, -0.9793867468833923, -0.9576365351676941, -0.901785135269165, -0.8817607760429382, -0.9809205532073975]",8.0,4.0
59,2u9itj,"[-0.9572024941444397, -0.9712855815887451, 0.954129159450531, -0.9812168478965759, -0.9859575033187866, -0.9564527273178101, -0.9897629618644714, -0.9896185994148254, -0.8691952228546143, -0.9854791760444641]",8.0,8.0
60,2sbjnf,"[-0.9730609655380249, -0.8431141972541809, 0.9772419929504395, -0.9498798251152039, -0.9891268610954285, -0.9647689461708069, -0.9821845293045044, -0.9624688625335693, -0.913908839225769, -0.8889696002006531]",8.0,4.0
61,2u8uxt,"[-0.9921558499336243, -0.9885182976722717, 0.9056509137153625, -0.9916180968284607, -0.9778443574905396, -0.9944260120391846, -0.9707671999931335, -0.9839310646057129, -0.9723277688026428, -0.9781174063682556]",8.0,8.0
62,2sbft1,"[-0.953917384147644, -0.9930132031440735, 0.9283192753791809, -0.9734146595001221, -0.9445734024047852, -0.8486341238021851, -0.9674192070960999, -0.9716387391090393, -0.9259852766990662, -0.9459744095802307]",8.0,9.0
63,2u5rz2,"[-0.9457250833511353, -0.8947548270225525, 0.7792543172836304, -0.9354581832885742, -0.9690427184104919, -0.9841097593307495, -0.9852081537246704, -0.9552971720695496, -0.9465736746788025, -0.8561060428619385]",8.0,5.0
64,2sat77,"[-0.9929967522621155, -0.9864888191223145, 0.979569137096405, -0.9509561657905579, -0.872908353805542, -0.9262375235557556, -0.9959198236465454, -0.9850040674209595, -0.8352962732315063, -0.9784163236618042]",8.0,8.0
65,2u4i5c,"[-0.9599176645278931, -0.9579108953475952, 0.8820815682411194, -0.9378225207328796, -0.9430564045906067, -0.8959046602249146, -0.9652742743492126, -0.9868097305297852, -0.9213224649429321, -0.9745578765869141]",8.0,7.0
66,2saqc5,"[-0.9725645780563354, -0.8288139700889587, 0.9765194058418274, -0.9453193545341492, -0.9880625009536743, -0.9633577466011047, -0.9819954037666321, -0.9599239230155945, -0.9149829149246216, -0.88227379322052]",8.0,0.0
67,2u44fh,"[-0.9856378436088562, -0.9599043726921082, 0.9399464130401611, -0.9817745089530945, -0.9748077392578125, -0.9550839066505432, -0.9856744408607483, -0.9902877807617188, -0.8905330896377563, -0.9872116446495056]",8.0,7.0
68,2sa5e5,"[-0.9733045101165771, -0.9503955245018005, 0.9647669196128845, -0.9679150581359863, -0.9967899918556213, -0.9812623858451843, -0.9889274835586548, -0.9820589423179626, -0.9801243543624878, -0.9827349781990051]",8.0,9.0
69,2u3507,"[-0.9862335920333862, -0.9449618458747864, 0.9114164710044861, -0.9528992176055908, -0.984739363193512, -0.932036280632019, -0.9497936367988586, -0.9818913340568542, -0.9327813386917114, -0.9452970027923584]",8.0,4.0
70,2s92d0,"[-0.9829311966896057, -0.9939719438552856, 0.9855552911758423, -0.9868555665016174, -0.9751201868057251, -0.9891292452812195, -0.9725207090377808, -0.9853298664093018, -0.9355239868164062, -0.9948974251747131]",8.0,1.0
71,2u1vae,"[-0.9520460367202759, -0.9583496451377869, 0.9397861361503601, -0.9611189961433411, -0.9854308366775513, -0.9867508411407471, -0.9750919938087463, -0.9750108122825623, -0.8426368236541748, -0.9785101413726807]",8.0,8.0
72,2s8k0v,"[-0.9764255881309509, -0.8817375898361206, 0.9556474685668945, -0.9529054760932922, -0.9506242871284485, -0.9649080038070679, -0.931510329246521, -0.9812158942222595, -0.8288863301277161, -0.8711246848106384]",8.0,3.0
73,2u0gj3,"[-0.994417130947113, -0.9819886088371277, 0.8705679178237915, -0.9364303946495056, -0.9826171398162842, -0.9790456295013428, -0.9847955703735352, -0.984689474105835, -0.9745606780052185, -0.9850803017616272]",8.0,8.0
74,2s84xn,"[-0.9739003777503967, -0.9518831968307495, 0.9652779698371887, -0.9686149954795837, -0.9968767166137695, -0.9814950227737427, -0.9891669154167175, -0.9825175404548645, -0.980381429195404, -0.9831586480140686]",8.0,4.0
75,2tzhvg,"[-0.9982428550720215, -0.9643989205360413, 0.9729472398757935, -0.9832646250724792, -0.9164962768554688, -0.9856847524642944, -0.9926885366439819, -0.9793179035186768, -0.8579654097557068, -0.9848671555519104]",8.0,8.0
76,2s7lkx,"[-0.9828311800956726, -0.9806616902351379, 0.9829941391944885, -0.9261599183082581, -0.8709384202957153, -0.9889106154441833, -0.8872805237770081, -0.9865638017654419, -0.857943594455719, -0.9793718457221985]",8.0,6.0
77,2tyl8n,"[-0.9909238219261169, -0.9259627461433411, 0.8413781523704529, -0.9870533347129822, -0.9627627730369568, -0.9614654183387756, -0.9825419783592224, -0.9596664309501648, -0.7696607112884521, -0.9889242053031921]",8.0,8.0
78,2s753c,"[-0.9952633380889893, -0.9913347363471985, 0.9626976251602173, -0.9723809361457825, -0.9811770915985107, -0.9689493179321289, -0.993863046169281, -0.9577566981315613, -0.9621830582618713, -0.986029863357544]",8.0,8.0
79,2txcs6,"[-0.9617450833320618, -0.9665704965591431, 0.9113457798957825, -0.9349820017814636, -0.9625488519668579, -0.832773745059967, -0.9223023056983948, -0.9728510975837708, -0.9335018396377563, -0.9145405292510986]",8.0,5.0
80,2tvhy5,"[-0.9987817406654358, -0.9810102581977844, 0.966752827167511, -0.997314989566803, -0.9660577774047852, -0.9802187085151672, -0.9962190389633179, -0.9937015175819397, -0.9286704659461975, -0.9922946691513062]",8.0,4.0
81,2s6b8h,"[-0.8811670541763306, -0.9835503101348877, 0.5247020721435547, -0.8769682049751282, -0.9911490082740784, -0.9056311845779419, -0.9533894062042236, -0.9923312067985535, -0.7508013844490051, -0.9855435490608215]",8.0,8.0
82,2tqhn2,"[-0.9885053634643555, -0.9845956563949585, 0.9926746487617493, -0.9816806316375732, -0.9287635684013367, -0.9944050312042236, -0.9730739593505859, -0.9679779410362244, -0.8728801608085632, -0.9948567152023315]",8.0,4.0
83,2s51xw,"[-0.9678871035575867, -0.9632281064987183, 0.9414559602737427, -0.9774237275123596, -0.9969412684440613, -0.9694734811782837, -0.9344726204872131, -0.9385385513305664, -0.9803144931793213, -0.9767331480979919]",8.0,8.0
84,2tqhcg,"[-0.9864394068717957, -0.9764794111251831, 0.9574469923973083, -0.971103310585022, -0.966679036617279, -0.8523041009902954, -0.9654427170753479, -0.9700647592544556, -0.9627377390861511, -0.9850848317146301]",8.0,3.0
85,2s4us7,"[-0.7471261024475098, -0.9655836820602417, 0.9234541654586792, -0.8361812829971313, -0.9633074998855591, -0.6545182466506958, -0.9359963536262512, -0.9656386375427246, -0.7122525572776794, -0.9772793054580688]",9.0,3.0
86,2to7kd,"[-0.9870558381080627, -0.9714345932006836, 0.8743547201156616, -0.9221308827400208, -0.9381474256515503, -0.7812971472740173, -0.939525842666626, -0.9480597376823425, -0.8642123937606812, -0.9414621591567993]",8.0,8.0
87,2s2ol0,"[-0.9183540940284729, -0.9756931662559509, 0.6481679677963257, -0.9774473905563354, -0.9131023287773132, -0.9234486818313599, -0.9526185393333435, -0.922999382019043, -0.8861249089241028, -0.9711847901344299]",8.0,8.0
88,2tkifi,"[-0.9949330687522888, -0.9840569496154785, 0.8797755241394043, -0.9411842823028564, -0.9843376278877258, -0.9803082942962646, -0.9860126376152039, -0.9863069653511047, -0.9762648940086365, -0.9866286516189575]",8.0,0.0
89,2s2hlg,"[-0.9763038754463196, -0.9433065056800842, 0.9802037477493286, -0.9865962862968445, -0.9038339853286743, -0.9666399955749512, -0.9672918319702148, -0.9772754311561584, -0.43262699246406555, -0.993889570236206]",8.0,1.0
90,2tjfxd,"[-0.994068443775177, -0.9968414306640625, 0.9880014657974243, -0.9838092923164368, -0.9839508533477783, -0.9781541228294373, -0.9933212399482727, -0.9941921830177307, -0.8292324542999268, -0.9948556423187256]",8.0,4.0
91,2s2hg9,"[-0.8267745971679688, -0.988205075263977, 0.8833376169204712, -0.7496318221092224, -0.9812767505645752, -0.7907509207725525, -0.8592985272407532, -0.9423613548278809, -0.919211208820343, -0.8687407374382019]",8.0,4.0
92,2td5pf,"[-0.9921661615371704, -0.9885276556015015, 0.905734658241272, -0.992037296295166, -0.9778434038162231, -0.9944290518760681, -0.9708003401756287, -0.9839403033256531, -0.9723462462425232, -0.9781551957130432]",8.0,8.0
93,2s0m4j,"[-0.9815146327018738, -0.942215085029602, 0.9011918902397156, -0.9807817935943604, -0.9934619665145874, -0.9625293016433716, -0.9887577891349792, -0.9924929738044739, -0.7897235751152039, -0.957493007183075]",8.0,3.0
94,2tcfiq,"[-0.9968144297599792, -0.9933156967163086, 0.9698114991188049, -0.9775587916374207, -0.9824892282485962, -0.9753747582435608, -0.9950821995735168, -0.9705376029014587, -0.9677855968475342, -0.9893456101417542]",8.0,9.0
95,2s0jxm,"[-0.9876546263694763, -0.9972949624061584, 0.9527643918991089, -0.967849850654602, -0.9884966015815735, -0.8045840859413147, -0.9825494289398193, -0.9807179570198059, -0.8920785784721375, -0.979567289352417]",8.0,4.0
96,2tbxjo,"[-0.9749400019645691, -0.9616679549217224, 0.981164276599884, -0.9666277170181274, -0.9524797201156616, -0.9647557139396667, -0.9075097441673279, -0.7742031812667847, -0.9447470903396606, -0.9859602451324463]",8.0,8.0
97,2ryxiu,"[-0.9890224933624268, -0.9889591336250305, 0.9859705567359924, -0.9891473054885864, -0.9501872062683105, -0.990227460861206, -0.9908906817436218, -0.828970193862915, -0.9405004978179932, -0.9801376461982727]",8.0,4.0
98,2tbi1k,"[-0.9739937782287598, -0.9873733520507812, 0.8566375970840454, -0.9878756999969482, -0.995559811592102, -0.8961309790611267, -0.9715249538421631, -0.954349935054779, -0.8342598676681519, -0.9682012796401978]",8.0,7.0
99,2ryvyl,"[-0.9933302998542786, -0.9758509397506714, 0.9579300880432129, -0.9825193881988525, -0.9729223251342773, -0.949131965637207, -0.9852849841117859, -0.9837519526481628, -0.8711349368095398, -0.9608001112937927]",8.0,8.0
100,2tb2q6,"[-0.9468568563461304, -0.9596571326255798, 0.8617510199546814, -0.7660498023033142, -0.9665261507034302, -0.8846619129180908, -0.9442898035049438, -0.9604182243347168, -0.9590025544166565, -0.9420443773269653]",8.0,4.0
101,2ry0bg,"[-0.9838757514953613, -0.9769927263259888, 0.89057457447052, -0.9352781772613525, -0.9914975166320801, -0.9673284888267517, -0.9720261096954346, -0.9967136383056641, -0.8921723961830139, -0.9620823860168457]",8.0,3.0
102,2rv0h6,"[-0.9837307333946228, -0.9936451315879822, 0.813251793384552, -0.9760473966598511, -0.9811698794364929, -0.9561318159103394, -0.9872949719429016, -0.9959415793418884, -0.988277018070221, -0.9838281869888306]",8.0,8.0
103,2xur58,"[-0.9651944041252136, -0.9553588032722473, 0.9587779641151428, -0.8924094438552856, -0.9054853320121765, -0.9359145760536194, -0.9689129590988159, -0.9708356857299805, -0.7806207537651062, -0.9804884195327759]",8.0,4.0
104,2rts53,"[-0.9561405181884766, -0.9646914601325989, 0.9463832974433899, -0.965480387210846, -0.9871925711631775, -0.98819899559021, -0.9762006998062134, -0.9774602651596069, -0.8466113805770874, -0.9820348024368286]",8.0,7.0
105,2xu9q8,"[-0.9912606477737427, -0.9860731959342957, 0.8504990339279175, -0.9571678042411804, -0.9549282193183899, -0.9852937459945679, -0.984329879283905, -0.9648116230964661, -0.9034396409988403, -0.9845716953277588]",8.0,9.0
106,2rtcou,"[-0.9937081336975098, -0.9775444269180298, 0.977381706237793, -0.9714109897613525, -0.9880406260490417, -0.9728699922561646, -0.9982057809829712, -0.9904047250747681, -0.8893042802810669, -0.9450709819793701]",8.0,4.0
107,2xrxtn,"[-0.9538016319274902, -0.9871560335159302, 0.9222644567489624, -0.936274528503418, -0.9531447887420654, -0.716206431388855, -0.9546571969985962, -0.8304823637008667, -0.8204305171966553, -0.956612229347229]",8.0,2.0
108,2rshya,"[-0.9919036030769348, -0.9920225143432617, 0.9228189587593079, -0.9830809831619263, -0.9792228937149048, -0.9695735573768616, -0.9853373765945435, -0.9205211400985718, -0.7978109121322632, -0.9820997714996338]",8.0,8.0
109,2xqrky,"[-0.9238147139549255, -0.9181766510009766, 0.6276270151138306, -0.9402111172676086, -0.979647159576416, -0.8928917646408081, -0.8657817840576172, -0.9130439758300781, -0.9590626358985901, -0.9238008856773376]",8.0,8.0
110,2rru2c,"[-0.9941952228546143, -0.9818718433380127, 0.9839997887611389, -0.9880390763282776, -0.971007227897644, -0.992836058139801, -0.982880175113678, -0.9936720132827759, -0.7398751378059387, -0.9599574208259583]",8.0,7.0
111,2xo8wx,"[-0.9988456964492798, -0.9814538955688477, 0.9673595428466797, -0.9974053502082825, -0.966721773147583, -0.9803415536880493, -0.9964289665222168, -0.9939552545547485, -0.92951899766922, -0.9923936128616333]",8.0,2.0
112,2rrg5q,"[-0.8622744679450989, -0.9837714433670044, 0.9725212454795837, -0.8920530676841736, -0.9467452168464661, -0.9369456171989441, -0.940406322479248, -0.9241565465927124, -0.9052058458328247, -0.9654475450515747]",8.0,4.0
113,2xn1c4,"[-0.8918803334236145, -0.9701512455940247, 0.9624984860420227, -0.9364030957221985, -0.9184111952781677, -0.9032018184661865, -0.9784003496170044, -0.9304064512252808, -0.8623502850532532, -0.9717027544975281]",8.0,3.0
114,2rr8iz,"[-0.7326434850692749, -0.9383202195167542, 0.9481963515281677, -0.9404094219207764, -0.9325174689292908, -0.9581385850906372, -0.9617651700973511, -0.9064809679985046, -0.9215644598007202, -0.8772116303443909]",8.0,9.0
115,2xkis4,"[-0.9916774034500122, -0.9924794435501099, 0.9515051245689392, -0.9933962821960449, -0.9910172820091248, -0.9855862855911255, -0.9690096378326416, -0.9948495030403137, -0.8311983346939087, -0.9944900274276733]",8.0,4.0
116,2rouhw,"[-0.9784325361251831, -0.9679247736930847, 0.9823331236839294, -0.9699745774269104, -0.958331286907196, -0.9693604707717896, -0.9128718972206116, -0.7939803004264832, -0.9459530115127563, -0.9883612990379333]",8.0,3.0
117,2xk6n4,"[-0.9496694803237915, -0.9915836453437805, 0.969122588634491, -0.9862244129180908, -0.7891439199447632, -0.973147451877594, -0.9837217330932617, -0.9882127642631531, -0.7640681862831116, -0.9849099516868591]",8.0,4.0
