,id,embedding,prediction,ground_truth
14,2sp6tj,"[-0.28120091557502747, 0.1454264521598816, -0.058739278465509415, -0.05773644521832466, 0.013489924371242523, -0.04620600864291191, -0.13920772075653076, -0.12546783685684204, 0.02021219953894615, -0.16147443652153015]",2,2
15,2snjzg,"[0.6036156415939331, 0.13789933919906616, -0.05378743261098862, 0.18984349071979523, 0.2831018269062042, -0.1969052404165268, 0.26246047019958496, 0.00665668211877346, -0.4229384660720825, -0.34415391087532043]",2,2
16,2sm4bd,"[0.011383695527911186, 0.10578761994838715, -0.21245168149471283, -0.06857828050851822, 0.020659293979406357, 0.12126215547323227, 0.45633038878440857, 0.023043330758810043, -0.049713678658008575, -0.0036495602689683437]",0,0
17,2skd5i,"[-0.06704845279455185, -0.02649002894759178, -0.12918464839458466, -0.05188785120844841, 0.02282676286995411, 0.013488737866282463, -0.18272335827350616, -0.1016758605837822, -0.0355510488152504, 0.008492734283208847]",2,0
18,2sk95h,"[-0.32748904824256897, -0.1572428196668625, 0.05591893196105957, -0.09852411597967148, 0.41156578063964844, -0.4751848876476288, 0.01779317669570446, 0.08484703302383423, -0.13435181975364685, 0.11865127086639404]",2,2
19,2shmhi,"[0.05987153574824333, -0.22212035953998566, -0.33883488178253174, 0.08774568140506744, 0.06378324329853058, -0.0409880131483078, -0.06413966417312622, 0.11168599873781204, -0.33985140919685364, 0.0236457921564579]",2,2
20,2sgayi,"[-0.10048123449087143, 0.007447101175785065, -0.08548461645841599, 0.0379803366959095, -0.27076733112335205, 0.11484097689390182, 0.06509484350681305, 0.12763231992721558, -0.0116753950715065, -0.0975535437464714]",0,0
21,2sfoqd,"[0.3434465825557709, -0.05593712627887726, 0.09429416805505753, 0.19985775649547577, 0.5785967111587524, -0.038666125386953354, 0.00700274808332324, 0.1078905463218689, -0.2572733163833618, -0.4207553565502167]",2,0
22,2sfnjy,"[-0.25147491693496704, -0.02873270772397518, -0.19366095960140228, -0.10254760831594467, 0.01690972037613392, -0.06668875366449356, -0.19384603202342987, 0.06250989437103271, -0.2953161895275116, -0.21995854377746582]",2,2
23,2sfbmb,"[0.05868921056389809, -0.07965503633022308, 0.05009244754910469, -0.30368801951408386, 0.13692186772823334, -0.1951093077659607, 0.019424574449658394, 0.19596007466316223, -0.4549040198326111, 0.21145406365394592]",2,2
24,2semsr,"[-0.0726628229022026, -0.10292188078165054, -0.028379002586007118, 0.008392478339374065, 0.2524087429046631, 0.04888779670000076, -0.027691705152392387, 0.03475961089134216, -0.31056317687034607, 0.15527436137199402]",2,0
25,2scwnv,"[-0.3236575424671173, 0.13582393527030945, 0.012321023270487785, 0.26834845542907715, 0.028799591585993767, -0.05529070645570755, -0.05375419184565544, 0.3270876407623291, -0.06329531967639923, -0.5730007290840149]",2,2
26,2scrsp,"[-0.35995352268218994, 0.17754533886909485, -0.1787695735692978, -0.11223828047513962, -0.0018439632840454578, -0.005000346805900335, 0.25799089670181274, 0.12808755040168762, -0.2226976454257965, -0.04714206978678703]",2,1
27,2scksk,"[-0.12636026740074158, 0.10124604403972626, 0.4254874587059021, -0.013663660734891891, 0.08984988927841187, -0.16198916733264923, -0.02798604592680931, 0.09728828072547913, -0.04300405830144882, -0.5551249980926514]",2,2
28,2sc82b,"[-0.03865448385477066, 0.013305569998919964, 0.1577662229537964, -0.04178464785218239, 0.016477806493639946, -0.04545849934220314, -0.050269752740859985, -0.005961648654192686, -0.4569391906261444, -0.09691810607910156]",2,2
29,2sbtfx,"[-0.3045281767845154, 0.4029201567173004, -0.012713039293885231, -0.043027009814977646, -0.05042560398578644, 0.052482444792985916, 0.4238898456096649, 0.14063414931297302, -0.10695912688970566, 0.10342500358819962]",2,2
30,2sbjnf,"[0.47213417291641235, 0.18525758385658264, -0.23345442116260529, -0.06489603966474533, 0.01843382604420185, -0.09369507431983948, -0.0005986288306303322, -0.2918573021888733, -0.22970736026763916, -0.17832420766353607]",2,2
31,2sbft1,"[-0.02223869599401951, 0.20142558217048645, -0.25782111287117004, -0.21978436410427094, 0.041622791439294815, 0.05046917870640755, 0.07819554209709167, 0.022107034921646118, -0.13011741638183594, -0.05384274199604988]",2,0
32,2sat77,"[0.08068932592868805, -0.013886723667383194, 0.26377421617507935, -0.022189637646079063, 0.11864043772220612, -0.17492522299289703, -0.23331215977668762, -0.1528259515762329, -0.09806076437234879, -0.6562986969947815]",2,2
33,2saqc5,"[-0.033453430980443954, -0.05323154479265213, -0.012458320707082748, 0.034420259296894073, 0.12269901484251022, -0.014904260635375977, -0.09578837454319, 0.21087822318077087, -0.41961461305618286, -0.1847049593925476]",2,0
34,2sa5e5,"[0.05967995896935463, 0.2331480234861374, 0.21334925293922424, -0.027222000062465668, 0.16921968758106232, -0.12361357361078262, 0.14053460955619812, -0.08860485255718231, -0.3652465045452118, 0.031782325357198715]",2,0
35,2s92d0,"[-0.11793066561222076, -0.05885446444153786, -0.10715058445930481, -0.027732903137803078, -0.0443720668554306, -0.1308424025774002, -0.06015435606241226, -0.18650689721107483, 0.012256109155714512, -0.24909578263759613]",0,0
36,2s8k0v,"[-0.14744269847869873, -0.2581467628479004, 0.037133898586034775, 0.04572031646966934, 0.16022445261478424, -0.1449565589427948, 0.015553600154817104, -0.12707895040512085, -0.1602819263935089, 0.04724700376391411]",2,2
37,2s84xn,"[0.11270945519208908, -0.520871102809906, -0.36189591884613037, -0.006506473757326603, 0.10833799093961716, -0.07752847671508789, 0.42522403597831726, -0.03379106521606445, -0.41198721528053284, 0.08357714861631393]",0,2
38,2s7lkx,"[-0.5896746516227722, -0.17503756284713745, -0.37362802028656006, 0.18874140083789825, 0.08103638142347336, -0.14205972850322723, -0.045592524111270905, 0.004129315726459026, -0.20260082185268402, -0.45263561606407166]",2,0
39,2s753c,"[0.22881338000297546, 0.4465917944908142, -0.07629584521055222, -0.08304436504840851, -0.026253091171383858, -0.2487308233976364, 0.5182652473449707, 0.355611115694046, -0.37040820717811584, -0.3799061179161072]",2,2
40,2s6f8p,"[0.5779048204421997, -0.408182293176651, 0.24892890453338623, 0.03924749046564102, -0.05432076007127762, -0.011213637888431549, -0.006935388781130314, 0.17965374886989594, -0.009865706786513329, -0.08237750083208084]",0,2
41,2s6b8h,"[0.010407381691038609, 0.27116677165031433, 0.0024676911998540163, -0.15115590393543243, 0.19057491421699524, 0.053988903760910034, 0.2706562280654907, 0.15822239220142365, -0.30043724179267883, -0.2495090514421463]",2,2
42,2s51xw,"[-0.27938324213027954, -0.09798559546470642, 0.09216200560331345, -0.19192533195018768, 0.05770593136548996, -0.22211028635501862, -0.0904158279299736, -0.35114654898643494, -0.2760666310787201, 0.4253526031970978]",0,0
43,2s4us7,"[-0.2654162645339966, -0.009031631983816624, -0.23602302372455597, -0.007519352249801159, 0.16511893272399902, -0.04141679406166077, 0.08664911985397339, 0.2340923398733139, -0.23387667536735535, -0.2470237910747528]",2,0
44,2s2ol0,"[-0.23612815141677856, 0.250126451253891, 0.10248424112796783, -0.29851529002189636, 0.2845318615436554, -0.23172476887702942, 0.1451966017484665, -0.33603569865226746, -0.16281826794147491, -0.23206929862499237]",2,1
45,2s2hlg,"[-0.29565149545669556, 0.3393356502056122, 0.26232364773750305, -0.33748677372932434, 0.2946072220802307, 0.05099129304289818, 0.05096827819943428, 0.0692560225725174, -0.17193683981895447, -0.481372594833374]",2,0
46,2s2hg9,"[0.07872657477855682, 0.28079840540885925, 0.2680526375770569, -0.01474358793348074, -0.07566472887992859, -0.12995631992816925, -0.007135366089642048, -0.03015601634979248, -0.2580377757549286, -0.47920334339141846]",2,2
47,2s0m4j,"[-0.034505873918533325, 0.007527706678956747, -0.22322341799736023, 0.2105279564857483, 0.021302349865436554, -0.15485239028930664, 0.001310031278990209, 0.32663998007774353, 0.0932060033082962, -0.30677783489227295]",2,2
48,2s0jxm,"[0.11429725587368011, 0.16463541984558105, -0.04128354787826538, 0.004057955928146839, 0.03424236550927162, -0.3684498071670532, 0.10768011957406998, -0.0570695661008358, -0.28311505913734436, -0.0807044729590416]",2,2
49,2ryxiu,"[0.2852342128753662, -0.33702024817466736, 0.17645125091075897, -0.23479853570461273, 0.28928253054618835, -0.05736839771270752, -0.04585381597280502, -0.049879565834999084, -0.45169797539711, -0.30850112438201904]",2,0
50,2ryvyl,"[-0.13052773475646973, 0.033384356647729874, -0.3645474314689636, 0.017471475526690483, 0.09339601546525955, -0.002201029332354665, 0.6587244868278503, -0.015696454793214798, -0.5232102274894714, 0.11544192582368851]",0,1
51,2ry0bg,"[-0.22053763270378113, -0.019494377076625824, -0.19079291820526123, -0.04504038020968437, 0.18818649649620056, -0.054210416972637177, 0.7065399289131165, 0.12427723407745361, -0.2112596035003662, -0.04527831822633743]",0,0
52,2rv0h6,"[0.15389081835746765, -0.3752056062221527, 0.4500741958618164, 0.027450930327177048, 0.5397098660469055, -0.001307886908762157, -0.08801847696304321, 0.03282582387328148, -0.2252621054649353, 0.04529212787747383]",2,0
53,2rts53,"[-0.25611552596092224, 0.13244301080703735, -0.3560297191143036, -0.059799280017614365, 0.053327351808547974, 0.11288852989673615, -0.16584645211696625, 0.20975154638290405, -0.06615062803030014, -0.04446566849946976]",2,0
54,2rtcou,"[-0.026384206488728523, -0.009575030766427517, 0.07356498390436172, 0.0017566237365826964, -0.05455918610095978, 0.08794787526130676, 0.03886225074529648, 0.10451781004667282, -0.020257433876395226, -0.5002068877220154]",2,1
55,2rshya,"[0.132534921169281, -0.04826347902417183, -0.21903876960277557, 0.014998170547187328, -0.30722397565841675, -0.05253036320209503, 0.04274476692080498, -0.30505743622779846, -0.30124422907829285, -0.12923158705234528]",0,1
56,2rru2c,"[-0.18384969234466553, 0.12523669004440308, 0.2156243622303009, -0.033492475748062134, 0.430782288312912, -0.20439556241035461, 0.1885639876127243, 0.3539680242538452, -0.10648469626903534, -0.46430110931396484]",2,0
57,2rrg5q,"[-0.009191378951072693, -0.07235214114189148, 0.052746426314115524, 0.24340733885765076, 0.3881862163543701, -0.04895840585231781, 0.04725473001599312, -0.13961026072502136, -0.32315847277641296, 0.07439367473125458]",2,2
58,2rr8iz,"[-0.534336507320404, 0.09078647941350937, -0.0022744471207261086, 0.03487738221883774, -0.03967884182929993, -0.06381414830684662, 0.02134760469198227, -0.02011866308748722, -0.061989374458789825, -0.3216836452484131]",2,0
59,2rouhw,"[0.08725316822528839, 0.023319847881793976, -0.06409359723329544, -0.017950773239135742, -0.20579025149345398, -0.09871046245098114, -0.1312716156244278, -0.10038050264120102, -0.3073884844779968, -0.1047615259885788]",2,2
60,2robbx,"[-0.047527238726615906, 0.062108393758535385, 0.3357541561126709, 0.15618562698364258, 0.3107246160507202, -0.4078466594219208, 0.4797317683696747, 0.1082102507352829, -0.026154201477766037, 0.30076172947883606]",2,2
61,2rmpm9,"[-0.4535474181175232, 0.174907386302948, -0.0071812900714576244, -0.060801200568675995, 0.2749740779399872, 0.05751258134841919, 0.09443499892950058, -0.03758605942130089, -0.36376866698265076, -0.17912928760051727]",2,0
62,2rm08l,"[0.10447680205106735, 0.055607255548238754, -0.11761631071567535, -0.01924734190106392, 0.04694167897105217, -0.09946409612894058, -0.011241202242672443, -0.4157795310020447, -0.06782984733581543, 0.14225280284881592]",0,1
63,2rkyuq,"[-0.0971306562423706, 0.08424459397792816, -0.07180626690387726, 0.03573191910982132, -0.20677688717842102, 0.12522462010383606, 0.07065661996603012, 0.13919860124588013, -0.019183436408638954, -0.09255827963352203]",2,2
64,2rju7c,"[-0.0706975981593132, 0.27384841442108154, 0.2608417570590973, 0.03046979196369648, -0.041744671761989594, 0.05437662824988365, -0.022910237312316895, 0.24223124980926514, -0.12777240574359894, -0.21669691801071167]",2,1
65,2rjq4p,"[-0.06033998355269432, -0.01100494060665369, 0.1441609114408493, -0.07109519839286804, 0.18862685561180115, -0.10950683057308197, 0.3001357316970825, 0.08436679095029831, -0.08477220684289932, -0.032721057534217834]",2,2
66,2rjmhm,"[0.203338161110878, -0.03578651696443558, 0.265062153339386, -0.1345522254705429, 0.02129475772380829, -0.05225110426545143, 0.40375328063964844, -0.17960825562477112, -0.20277859270572662, 0.001753657590597868]",0,2
67,2rhe73,"[-0.004005798138678074, 0.10979682207107544, 0.15138864517211914, 0.0013550108997151256, -0.018954697996377945, -0.27503424882888794, 0.10066036880016327, -0.008357853628695011, -0.37012526392936707, -0.07023078948259354]",2,2
68,2rhand,"[0.07872657477855682, 0.28079840540885925, 0.2680526375770569, -0.01474358793348074, -0.07566472887992859, -0.12995631992816925, -0.007135366089642048, -0.03015601634979248, -0.2580377757549286, -0.47920334339141846]",2,0
69,2rh05t,"[0.10175640136003494, -0.06541354209184647, -0.08898210525512695, -0.021060237661004066, 0.04793849214911461, -0.10299123823642731, -0.08379935473203659, 0.0006234889733605087, -0.1435064971446991, 0.12724825739860535]",2,2
70,2rg2xt,"[0.7426438927650452, 0.005163474474102259, -0.04154647886753082, -0.15209171175956726, 0.09807700663805008, -0.028820181265473366, 0.15387119352817535, 0.3609905540943146, -0.5381883978843689, -0.30754074454307556]",2,2
71,2rf356,"[-0.1049685850739479, -0.0013133430620655417, 0.08940255641937256, 0.05167941749095917, 0.14016452431678772, -0.007573082577437162, -0.13119374215602875, -0.30219730734825134, -0.03827992454171181, -0.1329539567232132]",2,2
72,2rd5vr,"[0.4331367611885071, 0.2612801492214203, 0.1843683421611786, -0.046806205064058304, 0.14391383528709412, 0.12690941989421844, 0.18640971183776855, -0.1147894486784935, -0.08881446719169617, -0.3529694974422455]",2,0
73,2rbj1f,"[-0.22905366122722626, 0.04264811426401138, -0.08592095226049423, -0.09026216715574265, 0.15116329491138458, -0.01911718025803566, 0.0034220342058688402, -0.21568503975868225, -0.35500746965408325, 0.11578358709812164]",2,1
74,2r9wy2,"[-0.14985419809818268, -0.06401045620441437, -0.13090911507606506, 0.04231440648436546, 0.2395206242799759, -0.35182642936706543, 0.1055855080485344, -0.12585695087909698, -0.17264170944690704, 0.0758994072675705]",2,1
75,2r9coy,"[0.17642742395401, -0.11287011951208115, 0.05228418484330177, -0.0146963344886899, -0.0708942785859108, -0.14015206694602966, 0.09329061955213547, -0.22032664716243744, -0.42562684416770935, 0.11371109634637833]",0,0
76,2r857m,"[0.48364177346229553, -0.16011522710323334, -0.2086726427078247, 0.21195673942565918, -0.18647706508636475, -0.10127855837345123, 0.200399249792099, 0.16865238547325134, -0.03460371121764183, -0.13867123425006866]",0,0
77,2r7lfn,"[0.22754371166229248, 0.04871967434883118, -0.18662406504154205, 0.058426275849342346, 0.22147011756896973, -0.1073501706123352, 0.5322566628456116, -0.0339224748313427, -0.2972741723060608, 0.18430528044700623]",0,2
78,2r59fi,"[0.019703270867466927, 0.024048833176493645, 0.08707693964242935, 0.09414979815483093, 0.09595844149589539, -0.007081429474055767, -0.1379130482673645, 0.046797074377536774, -0.046838030219078064, -0.17862850427627563]",2,2
79,2r4aqt,"[0.033379100263118744, 0.035775553435087204, -0.06295228749513626, -0.09148332476615906, 0.0035065801348537207, -0.4634479880332947, 0.1982031911611557, 0.13546524941921234, -0.3160439729690552, -0.20111821591854095]",2,0
80,2qzf34,"[0.06030386686325073, -0.029935935512185097, -0.315395712852478, -0.0061823478899896145, -0.1475914865732193, -0.01710096374154091, 0.04648059606552124, 0.1425672173500061, -0.2331441044807434, -0.5204125642776489]",2,2
81,2qz2pi,"[0.24055029451847076, -0.11684370785951614, -0.26714569330215454, -0.06378484517335892, -0.03543231263756752, -0.6393744349479675, 0.30513474345207214, 0.2657068073749542, -0.46464526653289795, -0.32826149463653564]",0,0
82,2vjkob,"[-0.162744402885437, 0.05527150630950928, -0.09686793386936188, -0.13423903286457062, 0.1839015781879425, -0.06387192755937576, 0.20679344236850739, 0.2149537056684494, -0.11901140213012695, 0.13436168432235718]",2,0
83,2vj28w,"[0.23028013110160828, 0.03654375672340393, 0.2799099385738373, 0.11287473887205124, -0.04532845318317413, 0.06002857908606529, -0.02435336261987686, 0.07117946445941925, 0.19938775897026062, -0.24893662333488464]",2,1
84,2vg1j8,"[-0.19418038427829742, 0.05796174705028534, -0.34585708379745483, 0.05814041942358017, 0.15433047711849213, -0.03696933388710022, 0.2703893482685089, 0.6634350419044495, -0.06057003140449524, -0.07324052602052689]",2,1
85,2vegz4,"[-0.32515814900398254, 0.1349162757396698, -0.11267685890197754, -0.02581041492521763, 0.09502852708101273, -0.10834832489490509, -0.03290589898824692, 0.11169135570526123, -0.034504424780607224, -0.1900336891412735]",2,0
86,2vcsuq,"[0.1641550064086914, 0.07164859771728516, -0.11141658574342728, -0.0732974037528038, 0.13688679039478302, 0.03612919896841049, -0.03449149802327156, 0.015275760553777218, -0.3183417320251465, -0.2692491114139557]",2,0
87,2vcbdn,"[0.4314107894897461, -0.10395820438861847, 0.03768743574619293, -0.050661392509937286, 0.10295721143484116, -0.12467113882303238, -0.23035475611686707, -0.2113901674747467, -0.11358295381069183, 0.12208389490842819]",2,1
88,2vaztq,"[0.5780773758888245, 0.2905261814594269, -0.16951945424079895, 0.019711773842573166, 0.25482308864593506, -0.2993376851081848, 0.03455866873264313, -0.0013976834015920758, -0.19973695278167725, -0.49405133724212646]",2,2
89,2v91fn,"[-0.31749147176742554, 0.08530981093645096, -0.0529470331966877, 0.012771517969667912, -0.05768631771206856, -0.08504334837198257, 0.36423638463020325, -0.18132427334785461, -0.17985816299915314, -0.1013578474521637]",2,0
90,2v8prd,"[-0.2808229625225067, 0.29778748750686646, -0.009181879460811615, -0.4020467698574066, 0.19155865907669067, 0.0440194196999073, 0.11828631907701492, 0.3788280189037323, -0.7068371772766113, -0.20814505219459534]",2,2
91,2v6ybi,"[0.28106608986854553, 0.03871595486998558, -0.06096074730157852, -0.06283100694417953, 0.026498904451727867, 0.03741195425391197, -0.04712555557489395, -0.13069088757038116, -0.634852945804596, -0.09253150224685669]",2,2
92,2v3u41,"[0.5259154438972473, 0.029676595702767372, -0.09011445194482803, -0.054250992834568024, 0.13341088593006134, -0.1187438815832138, 0.01736859604716301, -0.39311641454696655, -0.06986813247203827, -0.030794674530625343]",0,0
93,2v3lgy,"[-0.10044578462839127, 0.06892630457878113, 0.004824681673198938, 0.41641032695770264, -0.09009672701358795, -0.22357192635536194, -0.0788181722164154, 0.11561234295368195, -0.04268332198262215, -0.16768795251846313]",2,2
94,2v2i46,"[0.07184789329767227, 0.0424196720123291, -0.45084431767463684, 0.06130548566579819, -0.06677599251270294, -0.17862124741077423, 0.7428125143051147, -0.003987819422036409, -0.48654165863990784, -0.06362530589103699]",0,2
95,2v2anv,"[0.3946821093559265, -0.22189731895923615, -0.5660218596458435, -0.016333118081092834, -0.5216057300567627, -0.014234799891710281, -0.12426671385765076, 0.25984179973602295, -0.31867894530296326, 0.3240603804588318]",0,2
96,2v1jam,"[-0.1432700753211975, -0.03170132264494896, -0.15303389728069305, 0.08206943422555923, -0.10953254252672195, -0.06740228086709976, 0.0354880690574646, 0.24548344314098358, -0.4891994595527649, -0.038121581077575684]",2,0
97,2v0jxi,"[-0.4020627439022064, 0.0724465623497963, -0.05177777260541916, -0.04608386009931564, 0.20837542414665222, -0.10409732908010483, 0.15530365705490112, -0.08726280182600021, 0.006612039636820555, 0.0661940649151802]",2,0
98,2uwj6k,"[-0.19802485406398773, 0.05663667619228363, -0.11512032151222229, 0.21825766563415527, -0.03955641761422157, -0.0018640027847141027, 0.4835537374019623, 0.15674225986003876, -0.04967828467488289, -0.09054174274206161]",2,1
99,2uvm3c,"[-0.033338647335767746, 0.10834857076406479, -0.07735361903905869, 0.025328708812594414, -0.29380083084106445, 0.06981910020112991, 0.17521052062511444, 0.13014690577983856, 0.005408005323261023, -0.16496233642101288]",0,2
100,2uvbll,"[-0.292380154132843, 0.058854229748249054, -0.17559534311294556, 0.04199827089905739, -0.07249125838279724, -0.057809919118881226, 0.08788899332284927, 0.4250488579273224, -0.0838087871670723, -0.020530687645077705]",2,0
101,2ut5xv,"[0.6052334308624268, -0.042772576212882996, 0.4166707992553711, 0.083661749958992, -0.0015729244332760572, -0.005843616556376219, -0.03265577182173729, 0.09206962585449219, -0.03225531429052353, -0.30340030789375305]",2,0
102,2usoq8,"[0.2528001666069031, 0.3503984808921814, -0.03877675160765648, 0.01350711565464735, -0.16798964142799377, -0.06804665923118591, 0.20486147701740265, 0.39019083976745605, -0.12511283159255981, -0.29125985503196716]",2,2
103,2ushp9,"[0.02062416635453701, -0.25915151834487915, -0.0445823147892952, 0.045465514063835144, 0.12352338433265686, -0.05803319066762924, 0.2206130176782608, -0.019418934360146523, -0.05637095868587494, 0.0032613726798444986]",0,0
104,2urdo7,"[0.11624764651060104, -0.0031979496125131845, -0.026836803182959557, -0.01956058107316494, 0.17960917949676514, -0.32748955488204956, -0.050284143537282944, 0.04763194918632507, -0.12208608537912369, -0.2504355013370514]",2,2
105,2uqr44,"[0.6431429386138916, 0.08443274348974228, 0.07876257598400116, -0.04472777992486954, 0.08858183026313782, 0.07538659870624542, -0.052731387317180634, 0.3193172216415405, -0.07526750862598419, -0.1499296873807907]",2,0
106,2upin0,"[-0.18894803524017334, -0.060184214264154434, -0.060666948556900024, -0.036796994507312775, 0.18694566190242767, -0.1388188600540161, 0.1255057156085968, 0.22754448652267456, -0.21281050145626068, -0.012916111387312412]",2,2
107,2upbve,"[-0.2690071165561676, 0.09713558107614517, -0.047753654420375824, -0.15429018437862396, 0.07771513611078262, -0.03573303297162056, 0.40216493606567383, 0.45477500557899475, 0.04507794603705406, -0.10391857475042343]",2,2
108,2uo4l7,"[-0.03566798195242882, 0.2165016531944275, 0.4901767075061798, 0.14365330338478088, -0.09210046380758286, -0.1021803542971611, 0.008273688144981861, 0.03186571225523949, -0.19088639318943024, -0.05686185881495476]",2,2
109,2um4u4,"[-0.10770323872566223, 0.12155431509017944, 0.5584335327148438, 0.11596228927373886, 0.06786814332008362, -0.0684972032904625, 0.08771420270204544, 0.08296971768140793, -0.0701717883348465, -0.2004336416721344]",2,2
110,2um3ov,"[-0.284538596868515, 0.413727343082428, -0.24565072357654572, 0.0027192228008061647, -0.241352841258049, -0.26642557978630066, 0.14393576979637146, -0.0738293007016182, -0.17653101682662964, -0.19065509736537933]",2,0
111,2ulcj5,"[-0.2101496160030365, -0.13070352375507355, -0.25313204526901245, -0.1599297970533371, -0.13429538905620575, -0.00010878173634409904, -0.042561087757349014, -0.13746805489063263, -0.16701552271842957, -0.31022730469703674]",0,0
112,2ujx90,"[0.016588734462857246, -0.0021827195305377245, -0.5169904232025146, 0.07502759993076324, 0.030034951865673065, -0.10109780728816986, 0.08603773266077042, -0.12287746369838715, -0.042997807264328, -0.23416565358638763]",0,2
113,2ui1al,"[0.6459733843803406, -0.05004776269197464, 0.035198457539081573, 0.18080712854862213, -0.06039538234472275, -0.01729135774075985, -0.05188116431236267, -0.06098847836256027, -0.2576676905155182, -0.1100391373038292]",2,2
114,2ug70d,"[0.07872657477855682, 0.28079840540885925, 0.2680526375770569, -0.01474358793348074, -0.07566472887992859, -0.12995631992816925, -0.007135366089642048, -0.03015601634979248, -0.2580377757549286, -0.47920334339141846]",2,2
115,2uem96,"[-0.05983157083392143, 0.04493044689297676, -0.08136393129825592, 0.12814447283744812, -0.12370438873767853, -0.12485457211732864, -0.1582339107990265, 0.3218868672847748, -0.007962272502481937, -0.34101131558418274]",2,0
116,2ueh5x,"[0.07445875555276871, 0.03370119258761406, -0.06469621509313583, -0.06527016311883926, 0.22421880066394806, -0.37614235281944275, -0.0014527641469612718, -0.06826119869947433, -0.278059720993042, -0.014650478959083557]",2,2
117,2ud1iu,"[0.22202764451503754, 0.06898003816604614, -0.3337237238883972, -0.03868487849831581, 0.1493343710899353, 0.14145910739898682, -0.2937804162502289, 0.09623989462852478, -0.132034569978714, -0.5070376992225647]",2,1
118,2uctao,"[-0.571132242679596, -0.19856096804141998, -0.3114052712917328, 0.13873012363910675, 0.03713756427168846, -0.1188412681221962, 0.10530746728181839, 0.44973692297935486, -0.5990234017372131, 0.008748786523938179]",2,2
119,2ubq46,"[-0.3388960659503937, 0.22838500142097473, 0.00225069816224277, 0.07864879816770554, 0.0339549258351326, -0.07166140526533127, 0.3010193705558777, 0.08931493014097214, -0.07255253940820694, -0.08655212819576263]",2,1
120,2ua5mo,"[0.28118500113487244, -0.15654921531677246, 0.36346378922462463, -0.03447842597961426, 0.11784692108631134, 0.07266189903020859, -0.040945809334516525, -0.018140017986297607, -0.5987196564674377, 0.016398975625634193]",2,1
